"","lyftdf1","id"
"1","#lyft #free #ride For $20 in ride credit, download the Lyft app using my referral link: https://t.co/QoHhGQTtCj. It‚Ä¶ https://t.co/pqRfZPELRb","1"
"2","In Louisville, Kentucky ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","2"
"3","Going to Scott Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/rQ9ITj1pA8  #uber #Lyft","3"
"4","In New York City, New York ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","4"
"5","Heading to Kierland Commons inPhoenix? Go 100% free w/ $50 Free Lyft Credit Use Lyft Coupon Code ZOOT #shops #shopping #shop #Lyft #store","5"
"6","Calling all Indiana Hoosiers football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","6"
"7","Going to Jefferson Valley Malin Yorktown Heights? Go free w/ 10 Free Lyft rides Enter Lyft Promo Code COAX #shopping #store #mall #Lyft","7"
"8","Going to Mercedes-Benz Superdome ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/CmDXUPrKIx  #uber #Lyft","8"
"9","In Anaheim, California ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","9"
"10","In New Haven, Connecticut ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","10"
"11","Love Jason's Deli? Get to it free with Lyft ($50 Lyft credit) New Lyft Promo code: NUMB #gift #Lyft #uber #taxi #food #restaurant #cab","11"
"12","Headin' to Carter-Finley Stadium ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","12"
"13","For $5 in ride credit, download the Lyft app using my referral link: https://t.co/bamR4bC8U1. It's the most afforda‚Ä¶ https://t.co/xpAdrASQiY","13"
"14","Going to Wrigley Field ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/CmDXUPrKIx  #uber #Lyft","14"
"15","Love Friendly's? Get to it free with Lyft ($50 Lyft credit) New Lyft Promo code: NUMB #gift #Lyft #uber #taxi #food #restaurant #cab","15"
"16","If you want to take a #FREE ride or food with #Uber Ì†ΩÌ∫ò or #LyftÌ†ºÌæà

I HAVE #PROMO #CODES FOR YOU

#UberEATSÌ†ºÌΩΩ: UE-SARAH‚Ä¶ https://t.co/jokPWEqntB","16"
"17","Calling all Indiana Hoosiers football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","17"
"18","Forget Lyft, go to #Lyft and get a ride quick. #quickcab #cab #taxi Download Lyft &amp; use promo code ZOOT https://t.co/P4lu4Kij7k","18"
"19","Want a free ride to Bank of America Stadium ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","19"
"20","Want a free ride to Williams-Brice Stadium ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","20"
"21","Going to The Summit in Reno? Go 100% free w/ $50 Free Lyft Credit Use Lyft Coupon Code ZOOT #shops #shopping #shop #Lyft #store","21"
"22","Going to Ben Hill Griffin Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/1P0CxA8JrM  #uber #Lyft","22"
"23","Heading to Dover Malin Dover? Get there free w/ $50 Free Lyft Credit TEN Free Rides w/ Lyft Code DUSK #mall #store #shop #Lyft","23"
"24","OH:  he was at the PPG ice rink and snap chatted himself chugging a beer and throwing it into the tree. He put it o‚Ä¶ https://t.co/XRWzy03wIs","24"
"25","Going to Legion Field ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/SD7LiSIyWQ  #uber #Lyft","25"
"26","Is there anything more frustrating than watching your #Lyft or #Uber drive in the wrong direction as they're coming‚Ä¶ https://t.co/YCFXKdllq9","26"
"27","Going to Assembly Square Marketplace inSomerville? Download Lyft app &amp; go free Use Lyft Coupon Code COAX #mall #store #shop #Lyft #shopping","27"
"28","@lyft I accidentally gave my lyft driver zero stars ... how do I fix it?! #Lyft #lyftboston","28"
"29","Get a free #lyft ride with promo code FREETRIALRIDE it's the most affordable ride in town #lyftpromo","29"
"30","Going to Ward Parkway Center in Kansas City? Download Lyft app &amp; go free Use Lyft Promo Code COAX #mall #store #shop #Lyft #shopping","30"
"31","Just got into my #Lyft, asked for a iphone charger... and she says ‚Äúsorry I only have android‚Äù OK SATAN F$$ W ME","31"
"32","Uber Engaged in ‚ÄòIllegal‚Äô Spying on Rivals, Ex-Employee Says Technology#Uberdriverconfessions, #uber, #lyft,... https://t.co/0fFKP6ZOxW","32"
"33","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw‚Ä¶","33"
"34","Dont feel like driving my car to work tonight. #lyft it is Ì†ΩÌ∏å","34"
"35","Going to Aloha Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/CmDXUPJlA5  #uber #Lyft","35"
"36","You're OFF WORK!! #FREE #Lyft code! SCOTT2253 #promocode #ridershare https://t.co/JmWyyW7lGu #uber https://t.co/lNLRne4g1I","36"
"37","Taxi Drivers Disagree On Permit Limits But City Council Might Have Final Say https://t.co/bCTb53Urjk #freerides‚Ä¶ https://t.co/s92xiJMbRT","37"
"38","On the way to Mayberry Malin Mount Airy? Download Lyft app &amp; go free Enter Lyft Promo Code COAX #mall #store #shop #Lyft #shopping","38"
"39","If you want to take a #FREE ride or food with #Uber Ì†ΩÌ∫ò or #LyftÌ†ºÌæà

I HAVE #PROMO #CODES FOR YOU

#UberEATSÌ†ºÌΩΩ: UE-SARAH‚Ä¶ https://t.co/ljUENgJkO1","39"
"40","Calling all Kansas City Royals fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","40"
"41","Calling all Baltimore Orioles fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","41"
"42","Calling all San Francisco Giants fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","42"
"43","Calling all Clemson Tigers football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","43"
"44","Going to Kinnick Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/kOh7JgTD8c  #uber #Lyft","44"
"45","This Week In Accidental Misperceived Racism: A black man tried to hail me on Sunset. We made eye contact, but I kep‚Ä¶ https://t.co/wYbEbnvheC","45"
"46","Heading to Dover Malin Dover? Get there free w/ $50 Free Lyft Credit TEN Free Rides w/ Lyft Code DUSK #mall #store #shop #Lyft","46"
"47","Visiting Memphis ? Get around free w/ Lyft - 10 free rides w/ Lyft Promo Code:  OATH #travel #uber #Lyft #free","47"
"48","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw‚Ä¶","48"
"49","Walking around Bakersfield and need a taxi? Get 10 free rides w/ Lyft Promo Code:  OATH #limo #cab #Lyft #uber","49"
"50","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw‚Ä¶","50"
"51","Headin' to FedExField ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","51"
"52","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw‚Ä¶","52"
"53","Had a terrifying experience with an unstable @lyft driver today. Said she hoped I got raped and claimed to be part‚Ä¶ https://t.co/U2xiDLzkNl","53"
"54","Calling all Rice Owls football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","54"
"55","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw‚Ä¶","55"
"56","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw‚Ä¶","56"
"57","Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT‚Ä¶ https://t.co/fffFcNw2Da","57"
